name,abv,image_url
TIMAH Double Peated Blended Whiskey,40%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/TIMAH-DOUBLE-PEATED-BLENDED-WHISKY.jpg"
Roku Gin⚡,43%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/2-2.jpg"
HALFMOON Yuzu,20%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/HALFMOON-Yuzu.jpg"
Lagavulin 16 Year Old,43%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/Lagavulin-16-Year-Old-3.jpg"
Dassai 39 Junmai Daiginjo,16%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/Dassai-39-Junmai-Daiginjo.jpg"
MONKEY SHOULDER Whisky,40%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/MONKEY-SHOULDER-Whisky-1.jpg"
BAILEYS Irish Cream⚡,17%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/BAILEY%E2%80%99S-Irish-Cream.jpg"
Dassai 23 Junmai Daiginjo,16%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/Dassai-23-Junmai-Daiginjo.jpg"
The Famous Grouse Blended Malt Scotch Whisky,40%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/THE-FAMOUS-GROUSE-2.jpg"
DASSAI 45 Junmai Daiginjo,16%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/Dassai-45.jpg"
FEVER TREE Premium Indian Tonic Water (24 Bottles),0%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/FEVER-TREE-Premium-Indian-Tonic-Water-6-Bottles.jpg"
DASSAI 45 Junmai Daiginjo Sparkling Sake 360ml,13%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/DASSAI-45-Junmai-Daiginjo-Sparkling-Sake-360ml.jpg"
